business_name,suburb,source,website_or_contact,independent_signal,priority,status,notes
North Shore Smash Repairs,Artarmon,Web search,https://www.northshoresmash.com.au/,Independent/local,high,new,Family/local positioning
GIA Smash Repairs,Five Dock,Web search,https://www.giasr.com.au/,Independent/local,high,new,Strong reviews + lifetime guarantee
Basha Autohaus,West Ryde,Web search,https://www.bashaautohaus.com.au/,Independent/local,high,new,Prestige/luxury niche
Cammeray Smash Repairs,Crows Nest,Web search,https://cammeraysmash.com.au/,Independent/family,high,new,Family-run messaging
Sydney's Smash Repair Centre,Marrickville,Web search,https://sydneypanelbeaters.com.au/,Independent/local,high,new,Insurance support angle
Perre Bros Smash Repairs,Sydney,Directory,https://www.yellowpages.com.au/find/panel-beater-painters/nsw,Independent/local,medium,new,Needs direct site/contact confirmation
Grange Smash Repairs,South West Sydney,Directory,https://www.yellowpages.com.au/find/panel-beater-painters/nsw,Independent/local,medium,new,Needs direct site/contact confirmation
Centreline Smash Repairs Pty Ltd,Sydney,Directory,https://www.yellowpages.com.au/find/panel-beater-painters/nsw,Independent/local,medium,new,Established since 1988 (per result)
Smash Repairs Sydney Pty Ltd,Taren Point,Directory,https://www.whitepages.com.au/smash-repairs-sydney-pty-ltd-10879389/taren-point-nsw-10879388B,Independent/local,medium,new,Needs direct site/contact confirmation
Classic Smash Repairs,Prestons,Directory,https://www.yellowpages.com.au/nsw/prestons/classic-smash-repairs-12668587-listing.html,Independent/local,medium,new,Directory lead
South West Collision Repairs (SWCR),Smeaton Grange,Web search,https://swcrepairs.com.au/,Independent/family,high,new,Family-owned stated
Sydney Luxury Smash Repairs,Sydney,Web search,https://slsr.com.au/,Independent/local,medium,new,Luxury niche
Atlas Autobody,Artarmon,Web search,https://www.atlasautobody.com.au/,Independent/local,high,new,Long-standing operator
Hapos Auto Body,Homebush,Web search,https://www.oneflare.com.au/panel-beaters/nsw/sydney,Independent/local,medium,new,Need direct site/contact
Parramatta Smash Repairs,Parramatta,Web search,https://parramattasmashrepairs.com.au/,Independent/family,high,new,Large and respected local
Jack Hillermans,Artarmon,Web search,http://www.jackhillermans.com.au/,Independent/family,high,new,Long operating history
Mastertouch Automotives,Marrickville,Web search,https://www.oneflare.com.au/panel-beaters/nsw/sydney,Independent/local,medium,new,Need direct site/contact
DSM Smash Repairs,Marrickville,Web search,https://www.oneflare.com.au/panel-beaters/nsw/sydney,Independent/local,medium,new,Need direct site/contact
Lewisham Smash Repairs,Lewisham,Web search,https://www.oneflare.com.au/panel-beaters/nsw/sydney,Independent/local,medium,new,Need direct site/contact
Inner West Service Centre,Lewisham,Web search,https://www.oneflare.com.au/panel-beaters/nsw/sydney,Independent/local,medium,new,Need direct site/contact
Alexandria & City Smash Repair,Alexandria,Web search,https://www.autoguru.com.au/scratch-dent-repair/nsw/sydney,Independent/local,high,new,City-fringe commercial opportunity
Service Haus Automotive,Strathfield South,Web search,https://www.oneflare.com.au/panel-beaters/nsw/sydney,Independent/local,medium,new,Need direct site/contact
Carys Panel Beating,Bondi,Web search,https://www.localsearch.com.au/find/panel-beaters-smash-repairs/sydney-nsw,Independent/local,medium,new,Long-running local business
Serenity Smash Repairs,Five Dock,Web search,https://www.oneflare.com.au/panel-beaters/nsw/sydney,Independent/family,medium,new,Need direct site/contact
Autolab (Autobody Repair),Sydney,Web search,https://www.localsearch.com.au/find/panel-beaters-smash-repairs/sydney-nsw,Independent/local,medium,new,Need direct site/contact
All Autosmash Pty Ltd,Sydney,Web search,https://www.localsearch.com.au/find/panel-beaters-smash-repairs/sydney-nsw,Independent/local,medium,new,Need direct site/contact
Proline Paint And Panel,Sydney,Web search,https://www.localsearch.com.au/find/panel-beaters-smash-repairs/sydney-nsw,Independent/local,medium,new,Luxury-focused niche
Tidy Up Mobile Auto Paint Repairs,Sydney,Web search,https://www.localsearch.com.au/find/panel-beaters-smash-repairs/sydney-nsw,Independent/local,medium,new,Mobile operator angle
Westcorp Smash Repairs,Sydney,Web search,https://www.localsearch.com.au/find/panel-beaters-smash-repairs/sydney-nsw,Independent/local,medium,new,Need direct site/contact
Scientific Motor Body Works,Sydney,Web search,https://smbw.com.au/,Independent/local,high,new,Prestige niche + long history
